row_number,title,detail_url,resource_id,contracting_authority,info,date_published,submission_deadline,procedure,status,notice_pdf_url,award_date,estimated_value,cycle
1,Request for Tender for Inclusion on Panel for the Provision of Training Services for Oncology Aesthetics and Cancer Care,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6987109,6987109,Image Skillnet,,Mon Nov 17 20:04:04 GMT 2025,Fri Dec 31 23:45:00 GMT 2027,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6987109,,,1
2,Connection of Townawilly Group Water Scheme Co-Operative Society to the Public Water Supply,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=7012322,7012322,Donegal County Council_1193,,Mon Nov 17 17:43:14 GMT 2025,Mon Dec 15 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=7012322,,,1
3,Construction of New First Floor Accommodation for Macroom Family Resource Centre Ltd.,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=7009693,7009693,Macroom Family Resource Centre,,Mon Nov 17 17:16:26 GMT 2025,Tue Dec 23 14:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=7009693,,,1
4,Call for Tender CFT for Inclusion on Panel for the Provision of Training Services for the Hair Industry,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6972682,6972682,Image Skillnet,,Mon Nov 17 17:14:05 GMT 2025,Fri Dec 31 23:45:00 GMT 2027,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6972682,,,1
5,Request for Tender for Inclusion on Panel for the Provision of Training Services - Beauty Industry,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6972976,6972976,Image Skillnet,,Mon Nov 17 16:51:52 GMT 2025,Fri Dec 31 23:45:00 GMT 2027,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6972976,,,1
6,"High-Resolution Particle and Cell Sizing, Counting and Distribution Device",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=7012761,7012761,Trinity College Dublin the University of Dublin_336,,Mon Nov 17 16:37:59 GMT 2025,Tue Dec 09 14:00:00 GMT 2025,Open,Tender Submission,,,56900.0,1
7,"Request for Tender for Inclusion on Panel for the Provision of Training Services- Business, Management and Leadership",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=7012601,7012601,Image Skillnet,,Mon Nov 17 16:34:21 GMT 2025,Fri Dec 31 00:00:00 GMT 2027,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=7012601,,,1
8,Ballina Pool Pathfinder Retrofit Program,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=7012232,7012232,Mayo County Council_1127,,Mon Nov 17 16:19:40 GMT 2025,Mon Dec 08 17:00:00 GMT 2025,Open,Tender Submission,,,,1
9,Tree Survey - Merlin Park University Hospital - OPD Phase 2,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=7010822,7010822,Health Service Executive (HSE),,Mon Nov 17 16:17:32 GMT 2025,Fri Dec 05 16:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=7010822,,,1
10,"CFT Call for Tender for the Supply,Delivery and Installation of Art,Graphics,Engineering and Construction Studies Tools and Equipment to Mountmellick Community School ,Mountmellick Co Laois",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=7011683,7011683,Mountmellick Community School,,Mon Nov 17 16:13:29 GMT 2025,Tue Dec 09 15:00:00 GMT 2025,Open,Tender Submission,,,500000.0,1
11,"Electrical works to CBS Westland Row, Westland Row, Dublin 2.",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=7011358,7011358,CBS Westland Row,,Mon Nov 17 16:06:31 GMT 2025,Mon Dec 08 17:00:00 GMT 2025,Open,Tender Submission,,,,1
12,Gantly Street Roscrea Ground Investigations on behalf of Tipperary County Council,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=7011113,7011113,Tipperary County Council,,Mon Nov 17 15:53:47 GMT 2025,Fri Nov 28 16:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=7011113,,60000.0,1
13,Facilitation of Comhairle na nÓg Programme and Associated Activities on behalf of Westmeath County Council,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=7010781,7010781,Westmeath County Council,,Mon Nov 17 15:44:38 GMT 2025,Mon Dec 15 17:00:00 GMT 2025,Open,Tender Submission,,,,1
14,Call for Tender for the Provision of Cold meals under the School Meals Scheme to Castlerea Community School - 91493P,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=7010538,7010538,Castlerea Community School,,Mon Nov 17 15:35:05 GMT 2025,Thu Dec 04 17:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=7010538,,380000.0,1
