should_bid,confidence,reasoning,relevant_factors,estimated_fit,resource_id,analyzed_at
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) and Catering, food services, or meals are mentioned in the tender details. Version 1 does not bid on these non-technology professional services.",['Primary reason for decision'],0,7093492,2025-11-28T15:01:39.739470
False,high,"No PDF content available and the tender does not specify any IT-related services or keywords, making it likely a non-IT service. Also, Version 1 does not bid on physical goods, food, building work, etc.","['Lack of clear IT/technology evidence', 'Non-IT service category']",0,7093526,2025-11-28T15:01:42.850883
False,high,"Non-IT services - Physical goods ONLY (furniture, equipment) - Not aligned with Version 1's technology consultancy capabilities","['Physical goods ONLY', ""Not aligned with Version 1's technology consultancy capabilities""]",,7054986,2025-11-28T15:01:45.436615
False,high,Immediate disqualification due to physical goods (training for Supervisors and Managers in the Food and Drink industry),['Primary reason for decision'],0,7092559,2025-11-28T15:01:47.858192
False,high,"Immediate disqualification due to non-IT service: Physical goods ONLY (furniture, equipment, vehicles, supplies)",['Primary reason for decision'],0,7087818,2025-11-28T15:01:50.382632
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies)",['Primary reason for decision'],0,7078440,2025-11-28T15:01:52.703264
False,high,"Catering services are physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines)","[""Clonberne National School's requirement for hot meals under the School Meals Scheme""]",,7068951,2025-11-28T15:01:55.278936
False,high,"Implied non-IT service: Provision of Creative Campaign Services does not explicitly mention software, IT, technology, cloud, data, digital, or systems.",['Lack of clear IT/technology component'],0,7091616,2025-11-28T15:01:57.993995
False,high,"Non-IT service: Construction, facilities, or building works are mentioned in the tender title.",['Tender is for construction renovation work'],0,7091334,2025-11-28T15:02:00.452623
False,low,"Immediate disqualification due to physical goods only (furniture, equipment) as specified in the tender document.","['Physical goods ONLY', 'Non-IT services']",,7084262,2025-11-28T15:02:02.819785
False,high,"CPV codes found: [] has no IT/Software CPV code, which is immediately disqualifying.",['No valid IT/software CPV code'],0,7085364,2025-11-28T15:02:05.380646
False,high,"Tender does not specify software, IT, technology, cloud, data, digital, or systems; is for architectural consulting services for climate action summer works, which includes construction and facilities work.",['Non-IT service'],0,7081767,2025-11-28T15:02:08.159309
False,high,"Physical goods only: Furniture, equipment, vehicles, supplies, trees, ice machines (No PDF content available)",['Primary reason for decision'],0,7077794,2025-11-28T15:02:10.590061
